MERCHANT_ID_ANONYMIZED;COUNTRY_CODE;PAYPAL_START;FIRST_ORDER
11;fr-fr;;2014-10-28 14:23:33.000
11;de-de;12/01/2018;2018-01-26 18:07:34.000
11;es-es;04/03/2020;2017-04-15 19:48:28.000
18;es-es;05/10/2018;2018-11-23 10:06:37.000
18;fr-fr;;2014-10-31 17:45:42.000
18;de-de;05/10/2018;2018-11-23 10:55:34.000
37;fr-fr;;2014-11-14 21:18:24.000
37;es-es;29/11/2019;2016-03-30 15:32:30.000
37;de-de;29/11/2019;2019-10-22 21:17:40.000
74;fr-fr;;2015-08-23 13:33:59.000
74;de-de;24/04/2020;2020-05-06 16:26:30.000
74;es-es;24/04/2020;2020-01-22 22:37:50.000
226;es-es;;2020-08-28 13:40:43.000
226;de-de;;2021-07-14 23:31:49.000
226;fr-fr;;2015-03-13 19:09:42.000
353;de-de;;2021-03-06 16:49:31.000
353;es-es;;2019-09-01 12:23:57.000
353;fr-fr;;2015-03-25 13:19:41.000
3385;de-de;;2020-11-08 11:06:12.000
3385;fr-fr;;2015-06-08 22:48:48.000
3385;es-es;;2020-12-18 07:18:08.000
8010;de-de;23/01/2020;2020-08-10 09:26:11.000
8010;es-es;23/01/2020;2020-09-14 17:37:55.000
8010;fr-fr;;2016-04-16 15:27:05.000
15635;de-de;17/02/2018;2018-02-17 22:09:54.000
15635;es-es;27/08/2019;2018-02-13 09:39:10.000
15635;fr-fr;;2016-11-13 15:08:15.000
17586;fr-fr;;2015-08-23 21:38:57.000
17586;es-es;;2020-02-19 10:56:48.000
17586;de-de;29/08/2020;2021-04-08 20:57:18.000
59329;es-es;;2019-03-12 18:31:01.000
59329;de-de;21/08/2019;2019-02-15 17:15:17.000
59329;fr-fr;;2015-10-16 19:51:42.000
79517;es-es;;2020-09-22 23:41:00.000
79517;de-de;;2018-12-03 13:14:46.000
79517;fr-fr;;2016-07-27 21:59:46.000
91135;fr-fr;;2018-05-08 11:00:01.000
110602;de-de;28/03/2016;2016-03-28 19:55:00.000
110602;es-es;01/03/2016;2016-03-01 21:15:43.000
110602;fr-fr;;2016-01-22 17:54:59.000
175626;fr-fr;;2016-01-13 19:26:55.000
175626;de-de;17/01/2020;2020-02-03 14:41:00.000
175626;es-es;04/08/2021;2016-05-23 11:13:22.000
216010;de-de;13/02/2018;2018-02-13 16:03:01.000
216010;es-es;26/11/2020;2016-07-11 20:26:50.000
216010;fr-fr;;2016-03-24 14:12:23.000
314442;de-de;29/05/2018;2018-05-29 16:39:08.000
314442;fr-fr;;2016-03-18 10:57:35.000
314442;es-es;23/05/2017;2017-05-23 10:13:36.000
328519;fr-fr;;2016-04-27 09:08:12.000
357921;de-de;05/10/2018;2020-11-11 13:20:31.000
357921;es-es;05/10/2018;2020-05-21 12:59:25.000
357921;fr-fr;;2016-03-09 09:59:07.000
405234;fr-fr;;2017-02-12 09:46:25.000
456543;fr-fr;;2016-08-18 16:32:15.000
474562;de-de;13/06/2016;2016-06-13 15:39:37.000
474562;fr-fr;;2016-06-13 11:46:51.000
474562;es-es;16/06/2016;2016-06-16 14:10:32.000
493049;fr-fr;;2016-04-16 07:39:41.000
512010;de-de;29/06/2018;2018-06-29 18:31:45.000
512010;es-es;11/04/2016;2016-04-11 20:28:35.000
512010;fr-fr;;2018-06-29 12:20:05.000
531451;es-es;;2017-06-25 17:04:33.000
531451;fr-fr;;2019-06-14 18:46:09.000
551378;es-es;;2019-09-02 22:12:06.000
551378;de-de;04/09/2019;2019-09-15 18:13:18.000
551378;fr-fr;;2016-04-28 17:39:27.000
830594;fr-fr;;2016-05-04 18:04:30.000
830594;es-es;11/11/2017;2017-11-17 15:02:55.000
830594;de-de;20/03/2018;2018-03-20 11:19:19.000
1331010;fr-fr;;2016-08-26 19:52:38.000
1560906;fr-fr;;2018-02-28 17:30:12.000
1560906;de-de;12/06/2018;2018-06-12 10:52:28.000
1560906;es-es;26/09/2016;2016-09-26 16:41:16.000
2146699;es-es;05/10/2018;2018-12-25 22:00:10.000
2146699;fr-fr;;2016-11-03 10:20:33.000
2146699;de-de;05/10/2018;2018-12-22 16:18:36.000
2628082;es-es;;2017-01-06 11:45:04.000
2628082;fr-fr;;2016-12-03 08:04:15.000
2628082;de-de;06/12/2016;2016-12-06 18:05:45.000
2744010;de-de;22/08/2019;2019-05-20 12:52:31.000
2744010;fr-fr;;2016-07-31 22:21:25.000
2744010;es-es;22/08/2019;2019-03-05 19:13:09.000
3581587;fr-fr;;2016-08-18 10:57:00.000
3581587;es-es;06/09/2019;2019-05-06 13:57:10.000
3581587;de-de;05/10/2018;2019-07-24 00:29:43.000
4741642;fr-fr;;2016-09-12 14:32:21.000
4741642;es-es;05/10/2018;2018-11-22 10:36:58.000
4741642;de-de;05/10/2018;2018-11-22 23:03:17.000
4826819;fr-fr;;2017-03-28 16:51:42.000
4913010;es-es;25/06/2018;2018-06-25 15:58:21.000
4913010;fr-fr;;2016-09-25 12:27:51.000
4913010;de-de;22/06/2018;2018-06-22 10:21:39.000
5832010;es-es;;2020-04-28 14:20:30.000
5832010;de-de;;2021-11-26 11:43:39.000
5832010;fr-fr;;2017-02-28 21:06:21.000
6128497;es-es;30/04/2018;2018-04-30 20:54:50.000
6128497;de-de;02/05/2018;2018-05-02 09:23:17.000
6128497;fr-fr;;2016-09-29 00:16:55.000
6434866;es-es;14/09/2017;2017-09-14 09:10:59.000
6434866;fr-fr;;2017-04-25 23:49:29.000
6434866;de-de;29/11/2017;2017-11-29 14:16:35.000
7077898;fr-fr;;2016-11-01 00:10:27.000
7301394;fr-fr;;2017-01-25 11:35:46.000
8000010;fr-fr;;2019-02-13 17:12:52.000
8000010;es-es;05/10/2018;2019-02-09 00:10:14.000
8000010;de-de;05/10/2018;2019-02-11 18:05:59.000
8615135;de-de;;2018-06-19 15:46:35.000
8615135;fr-fr;;2017-09-15 20:42:54.000
8615135;es-es;;2016-10-26 22:16:48.000
9800354;es-es;05/02/2021;2020-11-23 13:54:50.000
9800354;fr-fr;;2017-06-19 11:05:15.000
9800354;de-de;24/06/2020;2021-04-08 16:27:27.000
12167010;fr-fr;;2019-01-21 18:42:23.000
12649347;fr-fr;;2016-11-19 11:33:00.000
12649347;de-de;26/11/2020;2018-04-11 08:29:16.000
12649347;es-es;26/11/2020;2017-01-18 22:29:36.000
16777226;de-de;;2021-10-28 21:17:42.000
16777226;es-es;05/10/2018;2019-07-12 17:52:56.000
16777226;fr-fr;;2017-01-21 14:18:46.000
18191457;de-de;16/04/2020;2019-06-25 17:20:07.000
18191457;es-es;16/04/2020;2019-06-03 14:37:36.000
18191457;fr-fr;;2017-01-23 15:39:24.000
20796885;de-de;05/11/2020;2020-11-03 19:07:34.000
20796885;es-es;05/11/2020;2020-11-05 22:21:45.000
20796885;fr-fr;;2017-06-19 11:56:51.000
21024586;es-es;27/02/2017;2017-02-27 18:32:42.000
21024586;de-de;01/10/2018;2018-10-01 17:04:31.000
21024586;fr-fr;;2018-02-18 20:38:45.000
22665197;fr-fr;;2017-02-06 21:49:12.000
22665197;es-es;26/03/2018;2018-03-26 16:11:16.000
22665197;de-de;26/03/2018;2018-03-26 18:17:57.000
30080241;es-es;;2017-03-29 12:13:27.000
30080241;fr-fr;;2018-03-15 12:05:14.000
30080241;de-de;;2021-10-31 12:38:15.000
36264701;fr-fr;;2018-01-22 21:17:07.000
36264701;de-de;;2018-06-19 18:28:50.000
36264701;es-es;;2017-04-10 17:41:11.000
43986987;de-de;04/06/2018;2018-06-04 19:51:54.000
43986987;fr-fr;;2017-04-06 15:06:58.000
43986987;es-es;23/09/2019;2018-06-04 14:09:00.000
56181897;fr-fr;;2017-04-01 22:16:00.000
56181897;es-es;27/05/2017;2017-05-27 20:42:17.000
56181897;de-de;07/04/2017;2017-04-07 20:04:53.000
57066635;fr-fr;;2017-04-11 11:35:53.000
57066635;es-es;05/10/2018;2019-02-19 20:00:52.000
57066635;de-de;05/10/2018;2019-02-21 22:36:32.000
63521209;fr-fr;;2017-05-06 11:42:35.000
63521209;de-de;08/05/2017;2017-05-08 16:13:29.000
63521209;es-es;30/06/2017;2017-06-30 18:26:42.000
67419153;de-de;05/06/2018;2018-06-05 10:20:26.000
67419153;es-es;31/03/2018;2018-03-31 18:49:15.000
67419153;fr-fr;;2018-04-18 22:35:50.000
70445007;es-es;;2020-09-24 21:59:47.000
70445007;fr-fr;;2017-06-23 18:06:00.000
70445007;de-de;;2020-11-02 11:04:10.000
70957954;de-de;12/12/2017;2017-12-12 21:57:37.000
70957954;fr-fr;;2017-05-10 20:19:14.000
70957954;es-es;11/12/2017;2017-12-11 19:15:19.000
73560069;fr-fr;;2019-05-09 12:50:28.000
73560069;es-es;05/10/2018;2019-05-01 18:30:38.000
73560069;de-de;05/10/2018;2019-05-09 16:10:11.000
78953599;fr-fr;;2017-05-30 18:05:58.000
78953599;es-es;;2019-06-06 15:45:08.000
78953599;de-de;;2020-11-21 12:33:20.000
85184010;de-de;21/08/2019;2018-10-31 11:32:59.000
85184010;fr-fr;;2018-02-07 14:35:28.000
85184010;es-es;21/08/2019;2017-04-30 16:41:22.000
94196385;de-de;;2021-06-03 14:56:29.000
94196385;es-es;;2021-03-24 12:59:21.000
94196385;fr-fr;;2017-06-10 18:45:32.000
105154058;de-de;;2020-10-20 20:32:23.000
105154058;fr-fr;;2017-05-29 17:22:53.000
105154058;es-es;;2020-09-07 22:07:25.000
105823827;es-es;18/07/2018;2018-07-18 12:46:20.000
105823827;de-de;09/08/2018;2018-08-09 20:29:00.000
105823827;fr-fr;;2018-03-31 21:24:50.000
106496434;de-de;;2020-07-05 17:51:56.000
106496434;fr-fr;;2017-05-22 08:34:39.000
106496434;es-es;;2020-06-20 09:59:08.000
108531343;de-de;06/10/2020;2020-10-08 13:40:16.000
108531343;es-es;06/10/2020;2020-10-16 21:04:20.000
108531343;fr-fr;;2017-09-08 14:31:32.000
109215362;de-de;05/10/2018;2019-03-12 21:17:31.000
109215362;fr-fr;;2017-06-18 13:28:59.000
109215362;es-es;05/10/2018;2019-06-07 14:29:51.000
116930179;es-es;05/10/2018;2019-07-18 20:17:09.000
116930179;de-de;25/08/2018;2018-08-25 13:36:36.000
116930179;fr-fr;;2017-06-30 19:25:34.000
121287385;es-es;05/10/2018;2018-11-30 14:29:04.000
121287385;fr-fr;;2017-06-16 18:07:09.000
121287385;de-de;05/10/2018;2018-12-03 12:09:36.000
143055677;es-es;;2020-09-04 11:46:05.000
143055677;fr-fr;;2019-04-16 18:51:25.000
143055677;de-de;;2020-11-19 15:31:19.000
148035899;es-es;01/02/2018;2018-02-01 18:47:37.000
148035899;fr-fr;;2018-01-30 13:41:08.000
148035899;de-de;05/10/2018;2020-06-10 18:32:15.000
