COUNTRY_CODE,DATE_CREATION,PAYMENT_METHOD,PRICE_TO_PAY,ERROR,RAW_ERROR_GROUP,ERROR_GROUP,BANK_ANONYMIZED,BANK_COUNTRY,STATE,PAYMENT_ID,CURRENCY,PAYMENT_INTENTION_ID,CLIENT_ID_ANONYMIZED
es-es,2020-11-05 18:30:29,card,461,0,00 : Approved or completed successfully,APPROVED,BANK221,ES,1,8178267,EUR,8178267,100013714
fr-fr,2020-11-04 21:02:01,card,374.4,20,3d-secure: Authentication failed,NOT_3D_AUTHENTICATED,BANK843,FR,0,8163225,EUR,8163225,10009159
fr-fr,2020-11-04 21:08:20,card,374.4,0,00 : Approved or completed successfully,APPROVED,BANK843,FR,1,8163365,EUR,8163225,10009159
fr-fr,2020-11-07 10:02:43,card,78,0,00 : Approved or completed successfully,APPROVED,BANK191,FR,1,8203085,EUR,8203085,100111426
es-es,2020-11-02 16:59:35,card,56,0,00 : Approved or completed successfully,APPROVED,BANK534,ES,1,8122203,EUR,8122203,100179500
fr-fr,2020-11-02 15:02:06,oney4x,1141,1337,REFUSED : La demande de paiement a été refusée.,DECLINED,BANK967,nan,0,8120061,EUR,8120061,100194558
fr-fr,2020-11-02 15:05:23,oney4x,1141,1337,REFUSED : La demande de paiement a été refusée.,DECLINED,BANK967,nan,0,8120125,EUR,8120061,100194558
fr-fr,2020-11-02 15:07:36,oney4x,523,1337,REFUSED : La demande de paiement a été refusée.,DECLINED,BANK967,nan,0,8120169,EUR,8120061,100194558
fr-fr,2020-11-02 15:11:53,oney4x,523,1337,REFUSED : La demande de paiement a été refusée.,DECLINED,BANK967,nan,0,8120265,EUR,8120061,100194558
fr-fr,2020-11-02 15:17:01,oney3x,523,1337,REFUSED : La demande de paiement a été refusée.,DECLINED,BANK967,nan,0,8120338,EUR,8120061,100194558
fr-fr,2020-11-02 18:19:27,oney4x,523,1337,REFUSED : La demande de paiement a été refusée.,DECLINED,BANK967,nan,0,8123810,EUR,8120061,100194558
fr-fr,2020-11-02 18:21:44,oney4x,523,1337,REFUSED : La demande de paiement a été refusée.,DECLINED,BANK967,nan,0,8123857,EUR,8120061,100194558
fr-fr,2020-11-02 18:23:24,oney4x,523,1001,Form Drop,FORM_DROP,BANK1,,0,8123907,EUR,8120061,100194558
fr-fr,2020-11-02 18:24:06,oney4x,523,1337,REFUSED : La demande de paiement a été refusée.,DECLINED,BANK967,nan,0,8123931,EUR,8120061,100194558
fr-fr,2020-11-02 18:30:14,oney4x,523,1337,REFUSED : La demande de paiement a été refusée.,DECLINED,BANK967,nan,0,8124085,EUR,8120061,100194558
fr-fr,2020-11-02 21:02:35,oney4x,523,1001,Form Drop,FORM_DROP,BANK1,,0,8127658,EUR,8120061,100194558
fr-fr,2020-11-03 09:06:10,oney4x,523,1001,Form Drop,FORM_DROP,BANK1,,0,8132085,EUR,8132085,100194558
fr-fr,2020-11-03 14:01:46,oney4x,523,1337,REFUSED : La demande de paiement a été refusée.,DECLINED,BANK967,nan,0,8137117,EUR,8132085,100194558
fr-fr,2020-11-03 14:33:47,card,64.6,0,00 : Approved or completed successfully,APPROVED,BANK688,FR,1,8137736,EUR,8132085,100194558
fr-fr,2020-11-03 14:36:45,oney4x,523,1337,REFUSED : La demande de paiement a été refusée.,DECLINED,BANK967,nan,0,8137788,EUR,8137788,100194558
fr-fr,2020-11-03 15:18:03,oney4x,523,1001,Form Drop,FORM_DROP,BANK1,,0,8138513,EUR,8137788,100194558
fr-fr,2020-11-04 20:48:57,oney4x,523,1001,Form Drop,FORM_DROP,BANK1,,0,8162918,EUR,8162918,100194558
fr-fr,2020-11-03 10:31:10,card,277,20,3d-secure: Authentication failed,NOT_3D_AUTHENTICATED,BANK192,FR,0,8133262,EUR,8133262,100233529
